RANDOM_SEED=6

Hamming profile: [462, 49, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
Lee profile: [1444, 141, 9, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
462<=B[0].wtL<=2310
B[0].wtH=462, B[0].wtL=1444
[LEEbkz:MW_Codeword_LEE:0.02956390380859375 sec.]
[LEEbkz:MW_Codeword_LEE:0.029967546463012695 sec.]
[LEEbkz:MW_Codeword_LEE:0.029607057571411133 sec.]
[LEEbkz:MW_Codeword_LEE:0.029564380645751953 sec.]
[LEEbkz:MW_Codeword_LEE:0.029662370681762695 sec.]
[LEEbkz:MW_Codeword_LEE:0.029814481735229492 sec.]
[LEEbkz:MW_Codeword_LEE:0.029551029205322266 sec.]
[LEEbkz:MW_Codeword_LEE:0.0298922061920166 sec.]
[LEEbkz:MW_Codeword_LEE:0.029789447784423828 sec.]
[LEEbkz:MW_Codeword_LEE:0.02957296371459961 sec.]
[LEEbkz:MW_Codeword_LEE:0.02970409393310547 sec.]
[LEEbkz:MW_Codeword_LEE:0.029511213302612305 sec.]
[LEEbkz:MW_Codeword_LEE:0.029649019241333008 sec.]
[LEEbkz:MW_Codeword_LEE:0.029610633850097656 sec.]
[LEEbkz:MW_Codeword_LEE:0.02960371971130371 sec.]
[LEEbkz:MW_Codeword_LEE:0.02956104278564453 sec.]
[LEEbkz:MW_Codeword_LEE:0.030413389205932617 sec.]
[LEEbkz:MW_Codeword_LEE:0.029754161834716797 sec.]
[LEEbkz:MW_Codeword_LEE:0.031328678131103516 sec.]
[LEEbkz:MW_Codeword_LEE:0.02944779396057129 sec.]
[LEEbkz:MW_Codeword_LEE:0.029517173767089844 sec.]
[LEEbkz:MW_Codeword_LEE:0.029708147048950195 sec.]
[LEEbkz:MW_Codeword_LEE:0.02958512306213379 sec.]
[LEEbkz:MW_Codeword_LEE:0.02931380271911621 sec.]
[LEEbkz:MW_Codeword_LEE:0.02941727638244629 sec.]
[LEEbkz:MW_Codeword_LEE:0.029863357543945312 sec.]
[LEEbkz:MW_Codeword_LEE:0.02935314178466797 sec.]
[LEEbkz:MW_Codeword_LEE:0.029373884201049805 sec.]
[LEEbkz:MW_Codeword_LEE:0.029958009719848633 sec.]
[LEEbkz:MW_Codeword_LEE:0.029857873916625977 sec.]
[LEEbkz:MW_Codeword_LEE:0.03166055679321289 sec.]
[LEEbkz:MW_Codeword_LEE:0.029845476150512695 sec.]
[LEEbkz:MW_Codeword_LEE:0.029674530029296875 sec.]
[LEEbkz:MW_Codeword_LEE:0.02955937385559082 sec.]
[LEEbkz:MW_Codeword_LEE:0.030324459075927734 sec.]
[LEEbkz:MW_Codeword_LEE:0.0295562744140625 sec.]
[LEEbkz:MW_Codeword_LEE:0.029611587524414062 sec.]
[LEEbkz:MW_Codeword_LEE:0.029935359954833984 sec.]
[LEEbkz:MW_Codeword_LEE:0.029819726943969727 sec.]
[LEEbkz:MW_Codeword_LEE:0.029740333557128906 sec.]
[LEEbkz:MW_Codeword_LEE:0.0296933650970459 sec.]
[LEEbkz:MW_Codeword_LEE:0.029696941375732422 sec.]
[LEEbkz:MW_Codeword_LEE:0.029732704162597656 sec.]
[LEEbkz:MW_Codeword_LEE:0.029991865158081055 sec.]
[LEEbkz:MW_Codeword_LEE:0.02985668182373047 sec.]
[LEEbkz:MW_Codeword_LEE:0.029603958129882812 sec.]
[LEEbkz:MW_Codeword_LEE:0.029541492462158203 sec.]
[LEEbkz:MW_Codeword_LEE:0.02987813949584961 sec.]
[LEEbkz:MW_Codeword_LEE:0.02972126007080078 sec.]
[LEEbkz:MW_Codeword_LEE:0.0296480655670166 sec.]
[LEEbkz:MW_Codeword_LEE:0.029813289642333984 sec.]
[LEEbkz:MW_Codeword_LEE:0.030092716217041016 sec.]
[LEEbkz:MW_Codeword_LEE:0.029577970504760742 sec.]
[LEEbkz:MW_Codeword_LEE:0.02972698211669922 sec.]
[LEEbkz:MW_Codeword_LEE:0.029700279235839844 sec.]
[LEEbkz:MW_Codeword_LEE:0.0296022891998291 sec.]
[LEEbkz:MW_Codeword_LEE:0.02971792221069336 sec.]
[LEEbkz:MW_Codeword_LEE:0.030025720596313477 sec.]
[LEEbkz:MW_Codeword_LEE:0.0305938720703125 sec.]
[LEEbkz:MW_Codeword_LEE:0.02967691421508789 sec.]
[LEEbkz:MW_Codeword_LEE:0.029951095581054688 sec.]
[LEEbkz:MW_Codeword_LEE:0.029435157775878906 sec.]
[LEEbkz:MW_Codeword_LEE:0.029618024826049805 sec.]
[LEEbkz:MW_Codeword_LEE:0.030134916305541992 sec.]
[LEEbkz:MW_Codeword_LEE:0.02961897850036621 sec.]
[LEEbkz:MW_Codeword_LEE:0.030004262924194336 sec.]
[LEEbkz:MW_Codeword_LEE:0.03013753890991211 sec.]
[LEEbkz:MW_Codeword_LEE:0.030211448669433594 sec.]
[LEEbkz:MW_Codeword_LEE:0.02963566780090332 sec.]
[LEEbkz:MW_Codeword_LEE:0.029724836349487305 sec.]
[LEEbkz:MW_Codeword_LEE:0.029434919357299805 sec.]
[LEEbkz:MW_Codeword_LEE:0.029435157775878906 sec.]
[LEEbkz:MW_Codeword_LEE:0.02944350242614746 sec.]
[LEEbkz:MW_Codeword_LEE:0.030132293701171875 sec.]
[LEEbkz:MW_Codeword_LEE:0.029542207717895508 sec.]
[LEEbkz:MW_Codeword_LEE:0.02977895736694336 sec.]
[LEEbkz:MW_Codeword_LEE:0.029510974884033203 sec.]
[LEEbkz:MW_Codeword_LEE:0.029429912567138672 sec.]
[LEEbkz:MW_Codeword_LEE:0.029955625534057617 sec.]
[LEEbkz:MW_Codeword_LEE:0.02948617935180664 sec.]
[LEEbkz:MW_Codeword_LEE:0.02982187271118164 sec.]
[LEEbkz:MW_Codeword_LEE:0.029736757278442383 sec.]
[LEEbkz:MW_Codeword_LEE:0.02973031997680664 sec.]
[LEEbkz:MW_Codeword_LEE:0.030077457427978516 sec.]
[LEEbkz:MW_Codeword_LEE:0.030283212661743164 sec.]
[LEEbkz:MW_Codeword_LEE:0.030069351196289062 sec.]
[LEEbkz:MW_Codeword_LEE:0.029803752899169922 sec.]
[LEEbkz:MW_Codeword_LEE:0.030035734176635742 sec.]
[LEEbkz:MW_Codeword_LEE:0.029804468154907227 sec.]
[LEEbkz:MW_Codeword_LEE:0.02977156639099121 sec.]
[LEEbkz:MW_Codeword_LEE:0.02940654754638672 sec.]
[LEEbkz:MW_Codeword_LEE:0.03027653694152832 sec.]
[LEEbkz:MW_Codeword_LEE:0.02977442741394043 sec.]
[LEEbkz:MW_Codeword_LEE:0.029707670211791992 sec.]
[LEEbkz:MW_Codeword_LEE:0.02972555160522461 sec.]
[LEEbkz:MW_Codeword_LEE:0.030042171478271484 sec.]
[LEEbkz:MW_Codeword_LEE:0.02959299087524414 sec.]
[LEEbkz:MW_Codeword_LEE:0.02940201759338379 sec.]
[LEEbkz:MW_Codeword_LEE:0.029676437377929688 sec.]
[LEEbkz:MW_Codeword_LEE:0.02981877326965332 sec.]
[LEEbkz:MW_Codeword_LEE:0.02999091148376465 sec.]
[LEEbkz:MW_Codeword_LEE:0.02946758270263672 sec.]
[LEEbkz:MW_Codeword_LEE:0.02954411506652832 sec.]
[LEEbkz:MW_Codeword_LEE:0.029932498931884766 sec.]
[LEEbkz:MW_Codeword_LEE:0.03000330924987793 sec.]
[LEEbkz:MW_Codeword_LEE:0.029738187789916992 sec.]
[LEEbkz:MW_Codeword_LEE:0.030167579650878906 sec.]
[LEEbkz:MW_Codeword_LEE:0.029723405838012695 sec.]
[LEEbkz:MW_Codeword_LEE:0.029662370681762695 sec.]
[LEEbkz:MW_Codeword_LEE:0.029248714447021484 sec.]
[LEEbkz:MW_Codeword_LEE:0.029497861862182617 sec.]
[LEEbkz:MW_Codeword_LEE:0.03017735481262207 sec.]
[LEEbkz:MW_Codeword_LEE:0.029480934143066406 sec.]
[LEEbkz:MW_Codeword_LEE:0.03026127815246582 sec.]
[LEEbkz:MW_Codeword_LEE:0.030067920684814453 sec.]
[LEEbkz:MW_Codeword_LEE:0.02950882911682129 sec.]
[LEEbkz:MW_Codeword_LEE:0.029974937438964844 sec.]
[LEEbkz:MW_Codeword_LEE:0.029510974884033203 sec.]
[LEEbkz:MW_Codeword_LEE:0.03144121170043945 sec.]
[LEEbkz:MW_Codeword_LEE:0.03024435043334961 sec.]
[LEEbkz:MW_Codeword_LEE:0.02996230125427246 sec.]
[LEEbkz:MW_Codeword_LEE:0.029685020446777344 sec.]
[LEEbkz:MW_Codeword_LEE:0.029726266860961914 sec.]
[LEEbkz:MW_Codeword_LEE:0.02965092658996582 sec.]
[LEEbkz:MW_Codeword_LEE:0.0296328067779541 sec.]
[LEEbkz:MW_Codeword_LEE:0.029917001724243164 sec.]
[LEEbkz:MW_Codeword_LEE:0.02967071533203125 sec.]
[LEEbkz:MW_Codeword_LEE:0.029437541961669922 sec.]
[LEEbkz:MW_Codeword_LEE:0.0296018123626709 sec.]
[LEEbkz:MW_Codeword_LEE:0.029654979705810547 sec.]
[LEEbkz:MW_Codeword_LEE:0.030151844024658203 sec.]
[LEEbkz:MW_Codeword_LEE:0.029529333114624023 sec.]
[LEEbkz:MW_Codeword_LEE:0.029645204544067383 sec.]
[LEEbkz:MW_Codeword_LEE:0.029759883880615234 sec.]
[LEEbkz:MW_Codeword_LEE:0.02990889549255371 sec.]
[LEEbkz:MW_Codeword_LEE:0.029694557189941406 sec.]
